"year","month","day","team","opponent","location","teamscore","oppscore","OT","weights","scorediff","ivy","winprob","predscorediff"
2017,3,4,"Brown","Princeton","V",7,10,0,8,-3,2,0,-8.6
2017,3,18,"Brown","Yale","H",10,12,0,8,-2,2,0,-0.7
2017,3,25,"Brown","Penn","H",2,7,0,8,-5,2,0,-6.3
2017,4,8,"Brown","Cornell","V",8,11,0,8,-3,2,0,-7.3
2017,4,15,"Brown","Harvard","H",12,19,0,8,-7,2,0,-3
2017,4,22,"Brown","Columbia","H",14,13,1,8,1,2,1,0.7
2017,4,29,"Brown","Dartmouth","V",8,12,0,8,-4,2,0,-2
2017,3,5,"Columbia","Dartmouth","H",17,10,0,8,7,2,1,-0.5
2017,3,11,"Columbia","Cornell","H",11,14,0,8,-3,2,0,-5.8
2017,3,25,"Columbia","Harvard","V",8,10,0,8,-2,2,0,-4.5
2017,4,8,"Columbia","Yale","H",15,14,0,8,1,2,1,-0.7
2017,4,15,"Columbia","Penn","H",7,17,0,8,-10,2,0,-6.3
2017,4,22,"Columbia","Brown","V",13,14,1,8,-1,2,0,-0.7
2017,4,29,"Columbia","Princeton","V",11,18,0,8,-7,2,0,-8.5
2017,3,4,"Cornell","Penn","V",10,4,0,8,6,2,1,-1.2
2017,3,11,"Cornell","Columbia","V",14,11,0,8,3,2,1,5.8
2017,3,25,"Cornell","Yale","V",15,6,0,8,9,2,1,4.3
2017,4,8,"Cornell","Brown","H",11,8,0,8,3,2,1,7.3
2017,4,15,"Cornell","Dartmouth","V",14,12,0,8,2,2,1,4.5
2017,4,22,"Cornell","Princeton","H",11,12,2,8,-1,2,0,-0.6
2017,4,29,"Cornell","Harvard","H",13,6,0,8,7,2,1,3.5
2017,5,5,"Cornell","Harvard","H",16,11,0,8,5,2,1,3.5
2017,5,7,"Cornell","Princeton","H",9,12,0,8,-3,2,0,-0.6
2017,5,14,"Cornell","Princeton","V",9,11,0,8,-2,2,0,-2.1
2017,3,5,"Dartmouth","Columbia","V",10,17,0,8,-7,2,0,0.5
2017,3,25,"Dartmouth","Princeton","H",8,18,0,8,-10,2,0,-5.9
2017,4,2,"Dartmouth","Harvard","H",12,17,0,8,-5,2,0,-1.8
2017,4,8,"Dartmouth","Penn","V",6,17,0,8,-11,2,0,-6.5
2017,4,15,"Dartmouth","Cornell","H",12,14,0,8,-2,2,0,-4.5
2017,4,22,"Dartmouth","Yale","V",12,11,0,8,1,2,1,-0.9
2017,4,29,"Dartmouth","Brown","H",12,8,0,8,4,2,1,2
2017,3,4,"Harvard","Yale","H",14,13,0,8,1,2,1,3.1
2017,3,25,"Harvard","Columbia","H",10,8,0,8,2,2,1,4.5
2017,4,2,"Harvard","Dartmouth","V",17,12,0,8,5,2,1,1.8
2017,4,8,"Harvard","Princeton","V",5,20,0,8,-15,2,0,-4.8
2017,4,15,"Harvard","Brown","V",19,12,0,8,7,2,1,3
2017,4,22,"Harvard","Penn","H",10,13,0,8,-3,2,0,-2.5
2017,4,29,"Harvard","Cornell","V",6,13,0,8,-7,2,0,-3.5
2017,5,5,"Harvard","Cornell","V",11,16,0,8,-5,2,0,-3.5
2017,3,4,"Penn","Cornell","H",4,10,0,8,-6,2,0,1.2
2017,3,25,"Penn","Brown","V",7,2,0,8,5,2,1,6.3
2017,4,8,"Penn","Dartmouth","H",17,6,0,8,11,2,1,6.5
2017,4,15,"Penn","Columbia","V",17,7,0,8,10,2,1,6.3
2017,4,19,"Penn","Princeton","H",17,12,0,8,5,2,1,-0.1
2017,4,22,"Penn","Harvard","V",13,10,0,8,3,2,1,2.5
2017,4,30,"Penn","Yale","H",18,7,0,8,11,2,1,6.3
2017,5,5,"Penn","Princeton","N",8,17,0,8,-9,2,0,-0.8
2017,3,4,"Princeton","Brown","H",10,7,0,8,3,2,1,8.6
2017,3,25,"Princeton","Dartmouth","V",18,8,0,8,10,2,1,5.9
2017,4,8,"Princeton","Harvard","H",20,5,0,8,15,2,1,4.8
2017,4,15,"Princeton","Yale","V",17,9,0,8,8,2,1,5.7
2017,4,19,"Princeton","Penn","V",12,17,0,8,-5,2,0,0.1
2017,4,22,"Princeton","Cornell","V",12,11,2,8,1,2,1,0.6
2017,4,29,"Princeton","Columbia","H",18,11,0,8,7,2,1,8.5
2017,5,5,"Princeton","Penn","N",17,8,0,8,9,2,1,0.8
2017,5,7,"Princeton","Cornell","V",12,9,0,8,3,2,1,0.6
2017,5,14,"Princeton","Cornell","H",11,9,0,8,2,2,1,2.1
2017,3,4,"Yale","Harvard","V",13,14,0,8,-1,2,0,-3.1
2017,3,18,"Yale","Brown","V",12,10,0,8,2,2,1,0.7
2017,3,25,"Yale","Cornell","H",6,15,0,8,-9,2,0,-4.3
2017,4,8,"Yale","Columbia","V",14,15,0,8,-1,2,0,0.7
2017,4,15,"Yale","Princeton","H",9,17,0,8,-8,2,0,-5.7
2017,4,22,"Yale","Dartmouth","H",11,12,0,8,-1,2,0,0.9
2017,4,30,"Yale","Penn","V",7,18,0,8,-11,2,0,-6.3
